frame,method,mae,rmse,hole_ratio_pred,runtime_ms
0,classical,nan,nan,0.0,1069.9174190012855
0,prompt_da,nan,nan,0.0,6532.273320999593
0,prior_da,nan,nan,0.0,8697.954675999426
0,hybrid_pda,nan,nan,1.7361111111058314e-05,480.0919999997859
1,classical,nan,nan,0.0,385.0513460001821
1,prompt_da,nan,nan,0.0,425.77713600076095
1,prior_da,nan,nan,0.0,6971.610202999727
1,hybrid_pda,nan,nan,7.378472222219212e-05,477.7928100011195
2,classical,nan,nan,0.0,395.32233200043265
2,prompt_da,nan,nan,0.0,423.69161500027985
2,prior_da,nan,nan,0.0,6966.228344999763
2,hybrid_pda,nan,nan,5.2083333333285964e-05,477.17207800087635
3,classical,nan,nan,0.0,396.12611000120523
3,prompt_da,nan,nan,0.0,423.3179859984375
3,prior_da,nan,nan,0.0,7015.543904000879
3,hybrid_pda,nan,nan,5.3168402777803436e-05,484.66449700026715
4,classical,nan,nan,0.0,399.73297600045044
4,prompt_da,nan,nan,0.0,425.1977749991056
4,prior_da,nan,nan,0.0,6824.487052999757
4,hybrid_pda,nan,nan,0.00017795138888887507,477.3848309996538
5,classical,nan,nan,0.0,378.196712999852
5,prompt_da,nan,nan,0.0,424.7248510000645
5,prior_da,nan,nan,0.0,6914.31244100022
5,hybrid_pda,nan,nan,3.146701388889728e-05,477.3526110002422
6,classical,nan,nan,0.0,392.7075040010095
6,prompt_da,nan,nan,0.0,424.6080360007909
6,prior_da,nan,nan,0.0,6959.834618999594
6,hybrid_pda,nan,nan,2.7126736111160454e-05,475.7563809998828
7,classical,nan,nan,0.0,382.715776000623
7,prompt_da,nan,nan,0.0,424.9551680004515
7,prior_da,nan,nan,0.0,6830.312087999118
7,hybrid_pda,nan,nan,5.859374999994671e-05,477.33083099956275
8,classical,nan,nan,0.0,391.66154300073686
8,prompt_da,nan,nan,0.0,423.9571079997404
8,prior_da,nan,nan,0.0,7006.362125999658
8,hybrid_pda,nan,nan,1.6276041666651864e-05,479.77650799839466
9,classical,nan,nan,0.0,389.15955199991004
9,prompt_da,nan,nan,0.0,424.28320399994846
9,prior_da,nan,nan,0.0,6957.326580000881
9,hybrid_pda,nan,nan,0.00020941840277777235,476.84728400054155
10,classical,nan,nan,0.0,386.040444000173
10,prompt_da,nan,nan,0.0,423.6188470003981
10,prior_da,nan,nan,0.0,6963.437406000594
10,hybrid_pda,nan,nan,0.00011935763888892836,477.8380850002577
11,classical,nan,nan,0.0,376.8743529999483
11,prompt_da,nan,nan,0.0,423.90302000058
11,prior_da,nan,nan,0.0,6846.313027999713
11,hybrid_pda,nan,nan,1.4105902777727941e-05,476.2952070013853
12,classical,nan,nan,0.0,392.97218899992004
12,prompt_da,nan,nan,0.0,424.54492700017
12,prior_da,nan,nan,0.0,7058.715361001305
12,hybrid_pda,nan,nan,0.00014865451388890172,478.2981139996991
13,classical,nan,nan,0.0,388.28722099970037
13,prompt_da,nan,nan,0.0,424.1997760000231
13,prior_da,nan,nan,0.0,7026.698378998844
13,hybrid_pda,nan,nan,1.193576388891504e-05,478.393106999647
14,classical,nan,nan,0.0,374.3424350013811
14,prompt_da,nan,nan,0.0,424.50310999993235
14,prior_da,nan,nan,0.0,6823.419876000116
14,hybrid_pda,nan,nan,2.061631944449971e-05,478.8021110016416
15,classical,nan,nan,0.0,383.13068999923416
15,prompt_da,nan,nan,0.0,424.00522499883664
15,prior_da,nan,nan,0.0,6849.111158000596
15,hybrid_pda,nan,nan,2.278645833331261e-05,477.0203410007525
16,classical,nan,nan,0.0,394.1799889998947
16,prompt_da,nan,nan,0.0,424.41406099896994
16,prior_da,nan,nan,0.0,7047.067561999938
16,hybrid_pda,nan,nan,1.6276041666651864e-05,482.9118310008198
17,classical,nan,nan,0.0,425.43737499909184
17,prompt_da,nan,nan,0.0,426.13905899997917
17,prior_da,nan,nan,0.0,6896.233989000393
17,hybrid_pda,nan,nan,2.170138888890616e-05,476.3175970001612
18,classical,nan,nan,0.0,393.60250500067195
18,prompt_da,nan,nan,0.0,423.64174999966053
18,prior_da,nan,nan,0.0,7096.407487999386
18,hybrid_pda,nan,nan,0.00013020833333332593,477.9343699992751
19,classical,nan,nan,0.0,369.0708190006262
19,prompt_da,nan,nan,0.0,423.6412520003796
19,prior_da,nan,nan,0.0,6788.163441000506
19,hybrid_pda,nan,nan,2.061631944449971e-05,483.00075600127457
20,classical,nan,nan,0.0,441.574947000845
20,prompt_da,nan,nan,0.0,426.15398700036167
20,prior_da,nan,nan,0.0,7102.9101999993145
20,hybrid_pda,nan,nan,2.4956597222236532e-05,475.7048200008285
21,classical,nan,nan,0.0,367.6653759994224
21,prompt_da,nan,nan,0.0,423.4748250000848
21,prior_da,nan,nan,0.0,6760.1413690008485
21,hybrid_pda,nan,nan,1.8446180555575786e-05,475.56367499964836
22,classical,nan,nan,0.0,392.61923400044907
22,prompt_da,nan,nan,0.0,423.76140899978054
22,prior_da,nan,nan,0.0,6956.451914000354
22,hybrid_pda,nan,nan,3.58072916666341e-05,486.7646679995232
23,classical,nan,nan,0.0,377.01464599922474
23,prompt_da,nan,nan,0.0,425.28415900051186
23,prior_da,nan,nan,0.0,6751.215547999891
23,hybrid_pda,nan,nan,2.4956597222236532e-05,477.0604829991498
24,classical,nan,nan,0.0,364.609042999291
24,prompt_da,nan,nan,0.0,424.35950899925956
24,prior_da,nan,nan,0.0,6771.854235999854
24,hybrid_pda,nan,nan,5.5338541666616337e-05,475.6233460011572
25,classical,nan,nan,0.0,379.8104199995578
25,prompt_da,nan,nan,0.0,425.0952709990088
25,prior_da,nan,nan,0.0,6970.852055999785
25,hybrid_pda,nan,nan,1.4105902777727941e-05,478.76269399966986
26,classical,nan,nan,0.0,375.11003899999196
26,prompt_da,nan,nan,0.0,424.9867960006668
26,prior_da,nan,nan,0.0,6824.736377999216
26,hybrid_pda,nan,nan,1.5190972222245414e-05,476.99232199920516
27,classical,nan,nan,0.0,394.23367099880124
27,prompt_da,nan,nan,0.0,423.7195290006639
27,prior_da,nan,nan,0.0,7021.562768999502
27,hybrid_pda,nan,nan,3.255208333330373e-05,476.0586330012302
28,classical,nan,nan,0.0,391.3561360004678
28,prompt_da,nan,nan,0.0,423.5750009993353
28,prior_da,nan,nan,0.0,7014.471335000053
